'level_above','type','name','first_name','last_name','title','agency_department','display_name','email','phone','homepage','gis_page','applications_page','data_page'
'Santa Barbara County','City','Buellton','','','','','Buellton','','','','','',''
'Orange County','City','Buena Park','Norm','Wray','','','Buena Park','nwray@buenapark.com','(714) 562 - 3670','','https://www.buenapark.com/Index.aspx?page=460','',''
'Los Angeles County','City','Burbank','','','','','Burbank','gis@burbankca.gov','(818) 238 - 5080','','http://gis.burbankca.gov/','http://gis.burbankca.gov/',''
'San Mateo County','City','Burlingame','','','','','Burlingame','','','','','',''
'State of California','County','Butte','','','Butte County GIS','','Butte County','','(530) 538-7292','','http://www.buttecounty.net/gis/Home.aspx','http://gismaps.buttecounty.net/flexviewer/bcdatasearch/index.html',''
'Los Angeles County','City','Calabasas','','','','','Calabasas','','','','','',''
'State of California','County','Calaveras','','','GIS Admin','','Calaveras County','gisadmin@co.calaveras.ca.us','(209) 754-6608','','http://calaverasgov.us/Departments/HZ/TechnologyServices/GIS.aspx','http://mapserver.co.calaveras.ca.us/calaveras_pub/index.html#',''
'Imperial County','City','Calexico','','','','','Calexico','','','','','',''
'Kern County','City','California','','','','','California','','','','','',''
'Riverside County','City','Calimesa','','','','','Calimesa','','','','','',''
'Imperial County','City','Calipatria','','','','','Calipatria','','','','','',''
'Napa County','City','Calistoga','','','','','Calistoga','','','','','',''
'Ventura County','City','Camarillo','','','','','Camarillo','','','','','',''
'Santa Clara County','City','Campbell','','','','','Campbell','','','','','',''
'Riverside County','City','Canyon Lake','','','','','Canyon Lake','','','','','',''
'Santa Cruz County','City','Capitola','','','','','Capitola','','','','','',''
'San Diego County','City','Carlsbad','Karl','von Schlieder','','','Carlsbad','gisdepartment@carlsbadca.gov','','','http://www.carlsbadca.gov/services/departments/gis/','http://gis.carlsbadca.gov/eZoning/WebPages/Map/FundyViewer.aspx',''
'Monterey County','City','Carmel-by-the-Sea','','','','','Carmel-by-the-Sea','','','','','',''
'Santa Barbara County','City','Carpinteria','','','','','Carpinteria','','','','','',''
'Los Angeles County','City','Carson','Alexander','Rocco','Information Technology - GIS','','Carson','ARocco@carson.ca.us','','','http://ci.carson.ca.us/content/department/gisservices.asp','http://www.carsonproperty.info/',''
'Riverside County','City','Cathedral','','','','','Cathedral','','','','','',''
'n/a','Other','Central Coast Joint Data Committee','Rex','Boyes','Watsonville GIS Coordinator','City of Watson','Central Coast Joint Data Committee','rboyes@ci.watsonville.ca.us','','http://www.ccjdc.org/','','',''
'Stanislaus County','City','Ceres','','','','','Ceres','','','','','',''
'Los Angeles County','City','Cerritos','','','','','Cerritos','','','','','',''
'n/a','Other','Channel Islands Regional GIS Collaborative','Zacharias','Hunt','ZWorld GIS','ZWorld GIS','Channel Islands Regional GIS Collaborative','info@zworldgis.com','(805) 448-1726','http://www.cirgis.org','','',''
'Butte County','City','Chico','Brad','Pierce','GIS Analyst','','Chico','','(530) 879-6900','','http://www.chico.ca.us/building_development_services/gis/home.asp','http://chico.facilitiesmap.com/application_cfmns/getplugin.cfm',''
'San Bernardino County','City','Chino','','','','','Chino','','(909) 364-2770
','','http://www.chinohills.org/index.aspx?NID=146','',''
'San Bernardino County','City','Chino Hills','','','','','Chino Hills','','','','','',''
'Madera County','City','Chowchilla','','','','','Chowchilla','','','','','',''
'San Diego County','City','Chula Vista','Bob','Blackwelder','','','Chula Vista','','','','http://www.chulavistaca.gov/City_Services/Administrative_Services/ITS/GIS/default.asp','http://209.242.148.137/pmg/',''
'Sacramento County','City','Citrus Heights','','','','','Citrus Heights','','','','','',''
'Los Angeles County','City','Claremont','','','','','Claremont','','','','','',''
'Contra Costa County','City','Clayton','','','','','Clayton','','','','','',''
'Lake County','City','Clearlake','','','','','Clearlake','','','','','',''
'Sonoma County','City','Cloverdale','','','','','Cloverdale','','','','','',''
'Fresno County','City','Clovis','','','','','Clovis','engineering@cityofclovis.com','(559) 324 - 2350','','http://www.ci.clovis.ca.us/Departments-and-Services/Planning-and-Development/GIS-Mapping','',''
'Riverside County','City','Coachella','','','','','Coachella','','','','','',''
'Fresno County','City','Coalinga','','','','','Coalinga','','','','','',''
'Placer County','City','Colfax','','','','','Colfax','','','','','',''
'San Mateo County','City','Colma','','','','','Colma','','','','','',''
'San Bernardino County','City','Colton','','','','','Colton','','','','','',''
'Colusa County','City','Colusa','','','','','Colusa','','','','','',''
'State of California','County','Colusa','Loudon','Tana','','','Colusa County','tloudon@countyofcolusa.org','(530) 458-0480','','http://www.countyofcolusa.org/index.aspx?nid=139','',''
'Los Angeles County','City','Commerce','','','','','Commerce','','','','','',''
'Los Angeles County','City','Compton','','','','','Compton','','','','','',''
'Contra Costa County','City','Concord','','','','','Concord','itdept@ci.concord.ca.us','','','http://www.cityofconcord.org/citygov/dept/it.htm','',''
'State of California','County','Contra Costa','','','','','Contra Costa County','ccmap@doit.cccounty.us','','','http://www.contracosta.ca.gov/1818/Maps-GIS','',''
'Kings County','City','Corcoran','','','','','Corcoran','','','','','',''
'Tehama County','City','Corning','','','','','Corning','','','','','',''
'Riverside County','City','Corona','','','','','Corona','','','','http://www.discovercorona.com/City-Departments/Information-Technology/Geographic-Information-Systems.aspx','http://www.discovercorona.com/Online-Services/Interactive-City-Map.aspx',''
'San Diego County','City','Coronado','','','','','Coronado','','','','','',''
'Marin County','City','Corte Madera','','','','','Corte Madera','','','','','',''
'Orange County','City','Costa Mesa','','','','','Costa Mesa','','','','','',''
'Sonoma County','City','Cotati','','','','','Cotati','','','','','',''
'Los Angeles County','City','Covina','','','','','Covina','','','','','',''
'Del Norte County','City','Crescent','','','','','Crescent','','','','','',''
'Los Angeles County','City','Cudahy','','','','','Cudahy','','','','','',''
'Los Angeles County','City','Culver','','','','','Culver','','','','','',''
'Santa Clara County','City','Cupertino','','','','','Cupertino','','','','','',''
'Orange County','City','Cypress','','','','','Cypress','','','','','',''
'San Mateo County','City','Daly','','','','','Daly','','','','','',''
'Orange County','City','Dana Point','','','','','Dana Point','','','','','',''
'Contra Costa County','City','Danville','','','','','Danville','','','','','',''
'Yolo County','City','Davis','','','','','Davis','','','','','',''
'San Diego County','City','Del Mar','','','','','Del Mar','','','','','',''
'State of California','County','Del Norte','Dan','McCorkle','Director of Information Technology','','Del Norte County','','(707) 464-7207','','http://www.co.del-norte.ca.us/departments/information-technology/geographic-information-services-gis','',''
'Monterey County','City','Del Rey Oaks','','','','','Del Rey Oaks','','','','','',''
'Kern County','City','Delano','','','','','Delano','','','','','',''
'Federal','State','Department of Food and Agriculture','','','','Pierce''s Disease Control Program','Pierce''s Disease Control Program','pdcpinfo@cdfa.ca.gov','','','','http://www.cdfa.ca.gov/pdcp/map_index.html',''
'Riverside County','City','Desert Hot Springs','','','','','Desert Hot Springs','','','','','',''
'Los Angeles County','City','Diamond Bar','','','','','Diamond Bar','','','','','',''
'Tulare County','City','Dinuba','','','','','Dinuba','','','','','',''
'Solano County','City','Dixon','','','','','Dixon','','','','','',''
'Siskiyou County','City','Dorris','','','','','Dorris','','','','','',''
'Merced County','City','Dos Palos','','','','','Dos Palos','','','','','',''
